QueryId,DocumentId
0,https---www.vmware.com-topics-glossary-content-hypervisor.txt
0,https---blogs.vmware.com-vmtn-2007-03-hypervisor_that.txt
0,https---www.vmware.com-topics-glossary-content-cloud-hypervisor.txt
0,https---www.vmware.com-topics-glossary-content-bare-metal-hypervisor.txt
0,https---www.vmware.com-products-vsphere-hypervisor.txt
1,https---www.vmware.com-topics-glossary-content-hypervisor.txt
1,https---blogs.vmware.com-vmtn-2007-03-hypervisor_that.txt
1,https---www.vmware.com-topics-glossary-content-hyperconvergence.txt
1,https---www.vmware.com-topics-glossary-content-cloud-hypervisor.txt
1,https---www.vmware.com-topics-glossary-content-bare-metal-hypervisor.txt
2,https---www.vmware.com-products-workstation-pro-faq.txt
2,https---www.vmware.com-products-fusion-faq.txt
2,https---techzone.vmware.com-resource-what-vmware-horizon.txt
2,https---techzone.vmware.com-resource-what-workspace-one.txt
2,https---www.vmware.com-products-horizon.txt
3,2034798.txt
3,2015014.txt
3,1003872.txt
3,2048177.txt
3,2017987.txt
4,https---www.vmware.com-topics-glossary-content-network-virtualization.txt
4,https---www.vmware.com-topics-glossary-content-desktop-virtualization.txt
4,https---www.vmware.com-topics-glossary-content-server-virtualization.txt
4,https---www.vmware.com-solutions-virtualization.txt
4,https---www.vmware.com-topics-glossary-content-virtual-infrastructure.txt
5,https---www.vmware.com-topics-glossary-content-virtual-machine.txt
5,https---www.vmware.com-solutions-virtualization.txt
5,https---www.vmware.com-topics-glossary-content-virtual-desktops.txt
5,https---www.vmware.com-products-vsphere-vmotion.txt
5,https---blogs.vmware.com-kb-2011-06-what-is-a-thinapp-clean-machine.txt
6,1022525.txt
6,https---blogs.vmware.com-kb-2013-02-installing-vmware-tools-in-a-ubuntu-virtual-machine.txt
6,1014294.txt
6,1004351.txt
6,1008973.txt
7,2960676.txt
7,https---blogs.vmware.com-kb-2010-03-how-to-virtualize-an-application-using-vmware-thinapp.txt
7,https---blogs.vmware.com-kb-2010-07-how-to-use-workspaces-in-vmware-lab-manager.txt
7,https---blogs.vmware.com-kb-2010-03-how-to-use-the-virtual-network-editor-in-vmware-workstation.txt
7,2140013.txt
8,1014294.txt
8,https---blogs.vmware.com-kb-2010-02-how-to-install-vmware-tools-in-a-novell-virtual-machine.txt
8,https---blogs.vmware.com-kb-2010-02-how-to-install-vmware-tools-in-a-linux-virtual-machine.txt
8,https---blogs.vmware.com-kb-2010-02-how-to-install-vmware-tools-in-a-windows-virtual-machine.txt
8,https---blogs.vmware.com-kb-2010-02-how-to-install-vmware-tools-in-a-linux-vm-using-a-compiler.txt
9,https---blogs.vmware.com-kb-2010-02-how-to-install-vmware-tools-in-a-linux-virtual-machine.txt
9,https---blogs.vmware.com-kb-2010-02-how-to-install-vmware-tools-in-a-linux-vm-using-a-compiler.txt
9,1014294.txt
9,60262.txt
9,1018414.txt
10,2034798.txt
10,2015014.txt
10,1003872.txt
10,59799.txt
10,2145912.txt
11,https---www.vmware.com-topics-glossary-content-kubernetes.txt
11,https---www.vmware.com-topics-glossary-content-kubernetes-pods.txt
11,https---www.vmware.com-topics-glossary-content-kubernetes-networking.txt
11,https---www.vmware.com-topics-glossary-content-kubernetes-cluster.txt
11,https---www.vmware.com-topics-glossary-content-kubernetes-services.txt
12,https---www.vmware.com-topics-glossary-content-cloud-hypervisor.txt
12,https---www.vmware.com-topics-glossary-content-hybrid-cloud-computing.txt
12,https---www.vmware.com-topics-glossary-content-cloud-computing-infrastructure.txt
12,https---www.vmware.com-topics-glossary-content-cloud-server.txt
12,https---www.vmware.com-topics-glossary-content-hypervisor.txt
13,https---www.vmware.com-topics-glossary-content-virtual-machine.txt
13,https---www.vmware.com-solutions-virtualization.txt
13,https---www.vmware.com-topics-glossary-content-virtual-desktops.txt
13,https---www.vmware.com-products-vsphere-vmotion.txt
13,https---www.vmware.com-topics-glossary-content-virtual-infrastructure.txt
14,2061404.txt
14,2120514.txt
14,71387.txt
14,52541.txt
14,78552.txt
15,1018415.txt
15,2017436.txt
15,https---blogs.vmware.com-kb-2010-04-how-to-create-virtual-machines-and-configure-preferences-in-vmware-workstation.txt
